,id,total_images,last_price,total_area,first_day_exposition,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,locality_name,airports_nearest,cityCenters_nearest,parks_around3000,parks_nearest,ponds_around3000,ponds_nearest,days_exposition,price_for_m2,fromcenter_category
5988,5988,3,19837000.0,83.6,2018-06-23T00:00:00,2,3.19,11.0,44.7,6,False,False,False,19.9,0,Санкт-Петербург,30917.0,3896.0,2.0,456.0,3.0,91.0,90,237284,центр
5989,5989,20,6790000.0,66.4,2017-02-12T00:00:00,2,2.75,10.0,34.7,5,False,False,False,10.6,0,Санкт-Петербург,17591.0,6466.0,1.0,309.0,2.0,497.0,58,102259,в пределах города
5990,5990,5,4000000.0,57.0,2018-09-16T00:00:00,2,2.65,16.0,30.7,3,False,False,False,14.0,0,Санкт-Петербург,14573.0,13369.0,0.0,5000.0,0.0,5000.0,89,70175,в пределах города
5992,5992,14,4800000.0,56.0,2017-04-18T00:00:00,3,2.75,5.0,41.0,2,False,False,False,5.0,1,Санкт-Петербург,42806.0,12682.0,1.0,576.0,0.0,5000.0,15,85714,в пределах города
5995,5995,0,4500000.0,46.4,2019-03-28T00:00:00,2,2.5,9.0,27.0,4,False,False,False,6.0,0,Санкт-Петербург,51425.0,14437.0,1.0,651.0,0.0,5000.0,30,96982,в пределах города
5996,5996,9,6150000.0,41.0,2018-03-07T00:00:00,1,2.75,10.0,17.5,7,False,False,False,13.4,0,Санкт-Петербург,39946.0,10720.0,1.0,2102.0,3.0,303.0,105,150000,в пределах города
5997,5997,20,8350000.0,101.4,2018-11-07T00:00:00,4,2.82,3.0,74.4,3,False,False,False,10.6,0,Санкт-Петербург,21629.0,4257.0,0.0,5000.0,1.0,478.0,0,82347,центр
5999,5999,18,5830000.0,60.7,2017-11-10T00:00:00,3,2.75,5.0,45.2,3,False,False,False,6.8,0,Санкт-Петербург,19114.0,10645.0,0.0,5000.0,1.0,658.0,0,96046,в пределах города
6000,6000,10,3100000.0,31.1,2017-06-02T00:00:00,1,2.5,5.0,17.0,3,False,False,False,6.4,1,Санкт-Петербург,32324.0,9402.0,0.0,5000.0,1.0,825.0,463,99678,в пределах города
6003,6003,20,4890000.0,40.7,2018-12-18T00:00:00,1,2.7,17.0,20.0,13,False,False,False,10.7,1,Санкт-Петербург,34631.0,14499.0,0.0,5000.0,1.0,987.0,30,120147,в пределах города
6004,6004,4,2400000.0,32.0,2017-09-04T00:00:00,1,2.68,5.0,17.4,5,False,False,False,5.5,0,Петергоф,40113.0,31493.0,3.0,372.0,3.0,320.0,326,75000,область
6005,6005,5,16500000.0,90.5,2019-03-21T00:00:00,3,3.9,6.0,48.0,5,False,False,False,8.0,0,Санкт-Петербург,21988.0,3254.0,0.0,5000.0,1.0,689.0,0,182320,центр
6006,6006,4,4400000.0,38.63,2015-02-03T00:00:00,1,2.85,25.0,15.0,6,False,False,False,12.3,2,посёлок Парголово,52611.0,18783.0,0.0,5000.0,0.0,5000.0,1452,113901,область
6007,6007,4,6200000.0,41.2,2016-02-29T00:00:00,1,2.75,13.0,17.1,4,False,False,False,10.2,0,Санкт-Петербург,29609.0,5032.0,1.0,620.0,1.0,809.0,184,150485,в пределах города
6009,6009,1,3400000.0,45.7,2015-06-16T00:00:00,2,2.7,5.0,29.1,2,False,False,False,6.3,0,Санкт-Петербург,32607.0,9684.0,1.0,343.0,1.0,779.0,497,74398,в пределах города
6010,6010,3,3500000.0,34.0,2018-08-13T00:00:00,1,2.5,9.0,18.0,6,False,False,False,8.0,0,Санкт-Петербург,50186.0,15922.0,0.0,5000.0,0.0,5000.0,77,102941,в пределах города
6011,6011,16,6800000.0,57.0,2017-12-19T00:00:00,3,2.75,7.0,37.0,5,False,False,False,6.0,0,Санкт-Петербург,11364.0,8838.0,1.0,529.0,3.0,728.0,153,119298,в пределах города
6015,6015,9,4000000.0,45.4,2017-02-07T00:00:00,2,2.5,9.0,28.2,3,False,False,False,7.0,0,Санкт-Петербург,32642.0,10882.0,2.0,522.0,0.0,5000.0,98,88105,в пределах города
6016,6016,4,3200000.0,43.0,2017-04-10T00:00:00,1,2.75,25.0,20.0,13,False,False,False,14.0,1,Санкт-Петербург,16346.0,15142.0,0.0,5000.0,0.0,5000.0,45,74418,в пределах города
6017,6017,14,5780000.0,59.0,2017-12-14T00:00:00,2,2.75,16.0,34.0,9,False,False,False,11.0,2,Санкт-Петербург,31148.0,12807.0,0.0,5000.0,0.0,5000.0,40,97966,в пределах города
6020,6020,9,75000000.0,222.0,2019-04-09T00:00:00,4,3.6,5.0,160.0,4,False,False,False,30.0,0,Санкт-Петербург,21887.0,573.0,0.0,5000.0,2.0,42.0,0,337837,самый центр
6021,6021,19,16830000.0,117.4,2019-04-04T00:00:00,2,2.75,16.0,33.4,13,False,False,False,51.0,2,Санкт-Петербург,51030.0,14721.0,0.0,5000.0,0.0,5000.0,0,143356,в пределах города
6022,6022,14,5300000.0,46.8,2017-11-07T00:00:00,1,2.7,17.0,21.6,14,False,False,False,10.9,1,Санкт-Петербург,14127.0,14980.0,0.0,5000.0,0.0,5000.0,404,113247,в пределах города
6024,6024,9,9100000.0,77.0,2018-10-03T00:00:00,2,2.8,24.0,40.0,22,False,False,False,15.5,0,Санкт-Петербург,51333.0,13056.0,0.0,5000.0,0.0,5000.0,79,118181,в пределах города
6026,6026,19,3900000.0,64.0,2017-09-30T00:00:00,2,2.8,5.0,33.0,1,False,False,False,10.0,0,Санкт-Петербург,21851.0,25274.0,0.0,5000.0,1.0,591.0,45,60937,область
6028,6028,5,3350000.0,30.0,2016-06-26T00:00:00,1,2.68,5.0,17.0,2,False,False,False,6.0,0,Пушкин,15345.0,27498.0,2.0,308.0,3.0,324.0,75,111666,область
6029,6029,7,4200000.0,42.0,2017-12-05T00:00:00,2,2.58,5.0,28.5,5,False,False,False,5.0,0,Санкт-Петербург,36416.0,9534.0,2.0,446.0,3.0,459.0,18,100000,в пределах города
6032,6032,20,8975000.0,74.8,2018-05-22T00:00:00,4,2.65,9.0,50.9,6,False,False,False,10.8,2,Санкт-Петербург,29135.0,11562.0,1.0,196.0,1.0,349.0,185,119986,в пределах города
6035,6035,20,12800000.0,80.8,2019-02-22T00:00:00,3,2.5,10.0,38.9,4,False,False,False,21.3,0,Санкт-Петербург,44489.0,10154.0,2.0,371.0,2.0,823.0,0,158415,в пределах города
6036,6036,1,7066624.0,51.2,2016-05-12T00:00:00,1,3.1,16.0,26.13,9,False,False,False,11.41,0,Санкт-Петербург,37407.0,8434.0,1.0,456.0,2.0,454.0,54,138020,в пределах города
6037,6037,14,2600000.0,30.7,2018-01-12T00:00:00,1,2.6,5.0,15.8,1,False,False,False,7.3,0,Санкт-Петербург,18819.0,15910.0,0.0,5000.0,0.0,5000.0,164,84690,в пределах города
6038,6038,1,7400000.0,75.1,2017-11-10T00:00:00,3,2.75,20.0,42.3,6,False,False,False,11.3,2,Санкт-Петербург,14489.0,13285.0,2.0,367.0,3.0,553.0,89,98535,в пределах города
6039,6039,4,3650000.0,34.5,2018-03-06T00:00:00,1,2.75,25.0,16.0,19,False,False,False,9.5,1,Санкт-Петербург,35250.0,16414.0,0.0,5000.0,1.0,400.0,10,105797,в пределах города
6040,6040,20,5650000.0,52.4,2018-08-16T00:00:00,2,2.67,12.0,28.6,11,False,False,False,8.5,2,Санкт-Петербург,37268.0,15419.0,0.0,5000.0,0.0,5000.0,54,107824,в пределах города
6041,6041,9,2800000.0,36.3,2017-11-23T00:00:00,1,2.6,16.0,16.5,10,False,False,False,9.0,1,Колпино,25518.0,31305.0,1.0,209.0,0.0,5000.0,270,77134,область
6042,6042,10,5500000.0,59.6,2017-12-19T00:00:00,3,2.55,9.0,42.9,3,False,False,False,6.2,1,Санкт-Петербург,12045.0,11450.0,0.0,5000.0,1.0,532.0,356,92281,в пределах города
6043,6043,8,5750000.0,62.44,2018-11-21T00:00:00,2,2.75,23.0,31.81,10,False,False,False,13.0,1,Санкт-Петербург,22077.0,17405.0,0.0,5000.0,1.0,274.0,97,92088,область
6044,6044,11,3500000.0,56.6,2018-08-07T00:00:00,3,2.5,5.0,42.0,4,False,False,False,5.0,1,Красное Село,27637.0,31062.0,0.0,5000.0,0.0,5000.0,59,61837,область
6045,6045,6,2900000.0,29.2,2018-11-15T00:00:00,1,2.6,6.0,14.1,1,False,False,False,8.8,0,посёлок Шушары,18363.0,24165.0,0.0,5000.0,0.0,5000.0,152,99315,область
6046,6046,7,3250000.0,28.0,2016-05-12T00:00:00,1,2.5,5.0,15.0,5,False,False,False,6.0,1,Санкт-Петербург,21457.0,23169.0,0.0,5000.0,1.0,399.0,0,116071,область
6048,6048,6,3900000.0,32.0,2017-06-19T00:00:00,1,2.68,26.0,11.7,10,False,False,False,10.5,2,посёлок Парголово,52480.0,18657.0,0.0,5000.0,0.0,5000.0,595,121875,область
6049,6049,10,4800000.0,40.7,2019-02-27T00:00:00,1,2.9,5.0,13.1,1,False,False,False,17.0,0,Санкт-Петербург,25116.0,5684.0,0.0,5000.0,0.0,5000.0,0,117936,в пределах города
6051,6051,8,4500000.0,60.0,2017-06-22T00:00:00,3,2.75,9.0,44.0,6,False,False,False,6.0,2,Санкт-Петербург,20718.0,14813.0,2.0,474.0,1.0,268.0,70,75000,в пределах города
6052,6052,7,7200000.0,70.0,2017-12-08T00:00:00,3,2.6,16.0,41.0,2,False,False,False,9.0,5,Санкт-Петербург,30178.0,13039.0,0.0,5000.0,0.0,5000.0,269,102857,в пределах города
6053,6053,8,5990000.0,55.0,2018-04-02T00:00:00,2,2.65,10.0,31.0,3,False,False,False,8.2,2,Санкт-Петербург,37473.0,12995.0,0.0,5000.0,0.0,5000.0,7,108909,в пределах города
6054,6054,6,5800000.0,87.0,2017-12-08T00:00:00,3,2.93,5.0,55.0,1,False,False,False,9.0,0,Санкт-Петербург,43411.0,8386.0,1.0,342.0,0.0,5000.0,313,66666,в пределах города
6055,6055,16,4300000.0,34.8,2018-02-01T00:00:00,1,2.5,10.0,18.4,6,False,False,False,8.6,2,Санкт-Петербург,13652.0,11927.0,0.0,5000.0,1.0,504.0,132,123563,в пределах города
6056,6056,10,4000000.0,33.1,2017-05-31T00:00:00,1,2.68,26.0,15.0,1,False,False,False,8.7,0,Санкт-Петербург,45997.0,18721.0,0.0,5000.0,0.0,5000.0,64,120845,область
6057,6057,12,3630000.0,31.6,2019-03-28T00:00:00,1,2.5,5.0,17.5,5,False,False,False,5.5,0,Пушкин,17249.0,29403.0,1.0,421.0,2.0,687.0,0,114873,область
6058,6058,12,4295000.0,34.0,2017-10-07T00:00:00,1,3.5,5.0,18.0,3,False,False,False,12.0,0,Санкт-Петербург,24705.0,4957.0,0.0,5000.0,0.0,5000.0,47,126323,центр
6062,6062,1,4900000.0,55.0,2017-08-30T00:00:00,1,3.0,20.0,25.0,2,False,False,False,20.0,0,Санкт-Петербург,34967.0,14640.0,0.0,5000.0,1.0,564.0,56,89090,в пределах города
6063,6063,19,6600000.0,60.0,2017-01-25T00:00:00,2,2.75,14.0,35.0,11,False,False,False,11.0,0,Санкт-Петербург,14724.0,11414.0,1.0,194.0,1.0,130.0,20,110000,в пределах города
6064,6064,18,3990000.0,40.6,2015-10-26T00:00:00,1,2.66,12.0,20.2,4,False,False,False,10.3,2,Санкт-Петербург,30101.0,10923.0,1.0,170.0,0.0,5000.0,360,98275,в пределах города
6065,6065,11,7100000.0,97.1,2019-03-18T00:00:00,3,2.56,5.0,58.0,4,False,False,False,13.6,0,Петергоф,39747.0,32428.0,0.0,5000.0,0.0,5000.0,0,73120,область
6066,6066,5,6750000.0,68.1,2016-02-16T00:00:00,3,2.48,16.0,42.0,11,False,False,False,8.1,0,Санкт-Петербург,12254.0,14845.0,0.0,5000.0,0.0,5000.0,230,99118,в пределах города
6067,6067,0,3500000.0,33.7,2019-02-14T00:00:00,1,2.5,9.0,18.8,1,False,False,False,5.6,2,Пушкин,14059.0,26212.0,0.0,5000.0,0.0,5000.0,45,103857,область
6068,6068,4,5800000.0,60.0,2017-10-19T00:00:00,3,2.65,9.0,38.0,7,False,False,False,7.3,0,Санкт-Петербург,17075.0,16077.0,1.0,643.0,1.0,747.0,201,96666,в пределах города
6070,6070,9,11500000.0,104.0,2017-12-05T00:00:00,3,3.2,4.0,64.0,2,False,False,False,14.0,0,Санкт-Петербург,25010.0,3865.0,2.0,345.0,1.0,834.0,115,110576,центр
6071,6071,14,12000000.0,99.4,2017-10-29T00:00:00,3,3.24,6.0,56.2,3,False,False,False,14.0,0,Санкт-Петербург,37288.0,8205.0,1.0,1951.0,3.0,257.0,229,120724,в пределах города
6072,6072,14,3800000.0,41.6,2016-02-26T00:00:00,2,2.55,5.0,26.1,1,False,False,False,5.8,0,Санкт-Петербург,18771.0,15522.0,1.0,535.0,1.0,606.0,365,91346,в пределах города
6073,6073,15,5700000.0,54.0,2015-09-30T00:00:00,2,2.75,5.0,33.5,3,False,False,False,8.5,0,Санкт-Петербург,27277.0,6828.0,0.0,5000.0,1.0,680.0,648,105555,в пределах города
6076,6076,3,9800000.0,79.0,2017-09-11T00:00:00,2,2.85,14.0,42.0,5,False,False,False,13.0,2,Санкт-Петербург,11752.0,9659.0,1.0,725.0,0.0,5000.0,58,124050,в пределах города
6077,6077,13,4000000.0,59.8,2017-05-23T00:00:00,3,2.68,9.0,42.9,3,False,False,False,6.1,0,Санкт-Петербург,45396.0,18968.0,0.0,5000.0,0.0,5000.0,52,66889,область
6078,6078,9,3880000.0,36.0,2016-07-01T00:00:00,1,2.68,23.0,15.0,2,False,False,False,10.0,0,посёлок Парголово,52480.0,18657.0,0.0,5000.0,0.0,5000.0,47,107777,область
6079,6079,2,3600000.0,35.2,2019-01-06T00:00:00,1,2.68,9.0,19.0,4,False,False,False,6.0,2,Пушкин,14813.0,26966.0,0.0,5000.0,0.0,5000.0,0,102272,область
6080,6080,1,8585256.0,60.4,2014-12-09T00:00:00,2,3.1,16.0,32.04,7,False,False,False,10.91,0,Санкт-Петербург,37407.0,8434.0,1.0,456.0,2.0,454.0,574,142140,в пределах города
6081,6081,5,4700000.0,58.5,2018-10-09T00:00:00,3,3.15,5.0,39.3,4,False,False,False,9.3,0,Санкт-Петербург,26454.0,5302.0,1.0,303.0,0.0,5000.0,161,80341,в пределах города
6082,6082,8,5250000.0,50.4,2017-09-27T00:00:00,2,3.19,4.0,30.7,4,False,False,False,7.3,0,Санкт-Петербург,23719.0,3260.0,0.0,5000.0,0.0,5000.0,69,104166,центр
6085,6085,8,6960000.0,44.1,2019-03-11T00:00:00,1,2.7,17.0,17.3,5,False,False,False,13.0,2,Санкт-Петербург,37491.0,9963.0,1.0,657.0,0.0,5000.0,9,157823,в пределах города
6086,6086,13,4800000.0,41.0,2019-04-09T00:00:00,3,2.75,5.0,29.9,4,False,False,False,5.3,0,Санкт-Петербург,10794.0,11042.0,0.0,5000.0,1.0,573.0,0,117073,в пределах города
6087,6087,20,3050000.0,30.4,2017-03-10T00:00:00,1,2.65,12.0,16.0,1,False,False,False,7.0,0,Санкт-Петербург,31934.0,12443.0,0.0,5000.0,0.0,5000.0,196,100328,в пределах города
6089,6089,14,5800000.0,74.2,2017-10-19T00:00:00,4,2.5,9.0,49.3,2,False,False,False,6.2,1,Санкт-Петербург,50446.0,15157.0,0.0,5000.0,0.0,5000.0,96,78167,в пределах города
6092,6092,9,5400000.0,52.8,2017-06-29T00:00:00,2,2.75,23.0,26.3,12,False,False,False,9.0,2,Санкт-Петербург,43074.0,10820.0,0.0,5000.0,0.0,5000.0,277,102272,в пределах города
6093,6093,0,2800000.0,32.0,2019-01-22T00:00:00,1,2.5,9.0,18.0,8,False,False,False,7.0,1,Колпино,26232.0,32018.0,0.0,5000.0,0.0,5000.0,22,87500,область
6094,6094,18,5000000.0,36.0,2019-04-14T00:00:00,1,2.75,26.0,16.0,12,False,False,False,10.0,2,Санкт-Петербург,49058.0,14883.0,1.0,265.0,1.0,572.0,12,138888,в пределах города
6099,6099,14,4899000.0,45.7,2017-08-18T00:00:00,2,2.75,9.0,28.4,1,False,False,False,7.1,2,Санкт-Петербург,46026.0,13677.0,2.0,503.0,0.0,5000.0,0,107199,в пределах города
6101,6101,1,5200000.0,49.0,2016-06-08T00:00:00,2,2.8,5.0,25.0,2,False,False,False,9.3,1,Санкт-Петербург,20517.0,3415.0,1.0,455.0,1.0,349.0,54,106122,центр
6102,6102,4,4150000.0,52.0,2017-08-07T00:00:00,2,2.5,9.0,32.0,9,False,False,False,5.5,2,Санкт-Петербург,26227.0,13066.0,0.0,5000.0,0.0,5000.0,33,79807,в пределах города
6103,6103,16,6050000.0,59.9,2019-05-02T00:00:00,2,2.7,4.0,33.6,1,False,False,False,7.7,0,Санкт-Петербург,21399.0,3660.0,0.0,5000.0,3.0,338.0,0,101001,центр
6104,6104,16,17000000.0,124.1,2019-03-26T00:00:00,4,2.78,7.0,54.3,5,False,False,False,40.0,0,Санкт-Петербург,10112.0,9771.0,2.0,287.0,0.0,5000.0,18,136986,в пределах города
6105,6105,8,4150000.0,50.0,2017-08-16T00:00:00,2,2.75,5.0,30.0,3,False,False,False,6.8,0,Санкт-Петербург,42847.0,13512.0,1.0,816.0,0.0,5000.0,147,83000,в пределах города
6106,6106,11,8600000.0,108.1,2018-07-25T00:00:00,5,2.75,5.0,76.8,2,False,False,False,9.9,0,Санкт-Петербург,22724.0,5267.0,1.0,368.0,2.0,726.0,257,79555,в пределах города
6108,6108,1,3990000.0,44.0,2016-06-06T00:00:00,2,2.75,9.0,29.0,5,False,False,False,7.0,0,Санкт-Петербург,13592.0,14670.0,1.0,430.0,0.0,5000.0,52,90681,в пределах города
6109,6109,4,3250000.0,50.0,2017-08-09T00:00:00,2,2.55,5.0,31.0,1,False,False,False,5.0,0,Санкт-Петербург,43959.0,16326.0,0.0,5000.0,0.0,5000.0,7,65000,в пределах города
6110,6110,20,6110000.0,66.73,2016-07-09T00:00:00,2,2.5,4.0,32.1,3,False,False,False,10.0,0,Сестрорецк,54331.0,35394.0,0.0,5000.0,0.0,5000.0,947,91563,область
6112,6112,3,12990000.0,102.7,2018-04-18T00:00:00,3,3.36,5.0,79.0,4,False,False,False,8.0,1,Санкт-Петербург,23600.0,3793.0,0.0,5000.0,1.0,531.0,0,126484,центр
6113,6113,15,3320000.0,35.0,2018-04-01T00:00:00,1,2.5,9.0,18.0,8,False,False,False,8.4,1,Санкт-Петербург,22903.0,17274.0,0.0,5000.0,1.0,521.0,54,94857,область
6114,6114,13,11950000.0,90.3,2017-03-23T00:00:00,3,2.8,24.0,48.2,5,False,False,False,11.2,2,Санкт-Петербург,13662.0,12884.0,2.0,127.0,2.0,373.0,355,132336,в пределах города
6115,6115,13,7750000.0,86.0,2017-10-30T00:00:00,3,3.0,5.0,58.0,1,False,False,False,8.0,0,Санкт-Петербург,40090.0,11793.0,1.0,211.0,0.0,5000.0,193,90116,в пределах города
6116,6116,7,3790000.0,38.0,2018-12-10T00:00:00,1,3.2,5.0,15.0,4,False,False,False,13.0,0,Колпино,27252.0,33038.0,0.0,5000.0,1.0,1097.0,45,99736,область
6117,6117,15,4300000.0,35.5,2018-11-10T00:00:00,1,2.75,14.0,21.5,6,False,False,False,8.0,0,Санкт-Петербург,11352.0,12796.0,0.0,5000.0,1.0,1053.0,15,121126,в пределах города
6118,6118,20,4750000.0,54.1,2019-01-22T00:00:00,3,2.5,5.0,36.6,4,False,False,False,7.1,1,Санкт-Петербург,46215.0,18939.0,0.0,5000.0,0.0,5000.0,26,87800,область
6119,6119,9,3300000.0,32.0,2019-02-07T00:00:00,1,2.5,5.0,18.0,3,False,False,False,6.0,1,Санкт-Петербург,42149.0,10972.0,2.0,287.0,0.0,5000.0,56,103125,в пределах города
6120,6120,3,3640000.0,37.96,2018-01-16T00:00:00,1,2.75,22.0,15.38,9,False,False,False,11.9,2,Санкт-Петербург,48847.0,16685.0,0.0,5000.0,0.0,5000.0,219,95890,в пределах города
6121,6121,0,3670000.0,38.7,2017-10-23T00:00:00,1,2.65,12.0,16.4,3,False,False,False,10.0,0,Санкт-Петербург,19886.0,21598.0,0.0,5000.0,1.0,885.0,186,94832,область
6122,6122,4,3350000.0,33.0,2016-06-17T00:00:00,1,2.75,14.0,17.0,3,False,False,False,8.0,0,Санкт-Петербург,52533.0,16758.0,0.0,5000.0,2.0,440.0,54,101515,в пределах города
6123,6123,15,3585000.0,28.9,2019-03-26T00:00:00,1,2.5,9.0,15.0,4,False,False,False,6.6,0,Санкт-Петербург,27107.0,12291.0,0.0,5000.0,0.0,5000.0,0,124048,в пределах города
6125,6125,7,3990000.0,72.0,2017-09-13T00:00:00,3,2.5,9.0,43.0,2,False,False,False,8.0,0,Колпино,26773.0,32559.0,1.0,458.0,1.0,946.0,104,55416,область
6126,6126,9,4897000.0,42.0,2019-03-14T00:00:00,1,2.7,26.0,18.0,11,False,False,False,12.0,0,посёлок Парголово,53561.0,19070.0,0.0,5000.0,0.0,5000.0,0,116595,область
6127,6127,13,40000000.0,65.3,2017-07-13T00:00:00,2,4.1,5.0,45.0,2,False,False,False,12.0,2,Санкт-Петербург,23308.0,2380.0,1.0,473.0,1.0,283.0,497,612557,самый центр
6128,6128,16,6100000.0,52.4,2017-07-04T00:00:00,2,2.6,12.0,34.0,6,False,False,False,9.0,1,Санкт-Петербург,33221.0,12881.0,0.0,5000.0,0.0,5000.0,0,116412,в пределах города
6129,6129,6,3800000.0,49.1,2015-10-20T00:00:00,4,2.75,5.0,37.1,2,False,False,False,5.5,0,Санкт-Петербург,10248.0,11825.0,0.0,5000.0,0.0,5000.0,266,77393,в пределах города
6130,6130,7,4300000.0,39.0,2019-02-11T00:00:00,1,2.65,12.0,20.3,8,False,False,False,10.0,0,Санкт-Петербург,19886.0,21598.0,0.0,5000.0,1.0,885.0,43,110256,область
6132,6132,4,7600000.0,76.0,2017-09-28T00:00:00,3,2.86,5.0,48.6,1,False,False,False,7.4,0,Санкт-Петербург,22435.0,3084.0,2.0,742.0,1.0,69.0,117,100000,центр
6133,6133,20,15300000.0,140.0,2018-10-25T00:00:00,4,2.75,5.0,77.0,3,False,False,False,41.0,2,Санкт-Петербург,53724.0,16995.0,0.0,5000.0,2.0,325.0,146,109285,в пределах города
6134,6134,9,8500000.0,103.0,2017-02-28T00:00:00,5,2.75,12.0,71.0,1,False,False,False,11.0,0,Санкт-Петербург,35340.0,11371.0,0.0,5000.0,0.0,5000.0,306,82524,в пределах города
6138,6138,8,5700000.0,49.0,2018-07-27T00:00:00,2,2.5,9.0,31.0,2,False,False,False,8.0,1,Санкт-Петербург,35931.0,10960.0,0.0,5000.0,0.0,5000.0,223,116326,в пределах города
6139,6139,0,3250000.0,36.0,2015-02-20T00:00:00,1,2.75,9.0,18.3,9,False,False,False,7.0,0,Санкт-Петербург,13879.0,12675.0,2.0,695.0,1.0,776.0,677,90277,в пределах города
6141,6141,17,8900000.0,65.0,2017-08-17T00:00:00,2,2.75,24.0,30.8,4,False,False,False,10.2,0,Санкт-Петербург,37294.0,12191.0,0.0,5000.0,2.0,583.0,231,136923,в пределах города
6145,6145,10,8100000.0,80.7,2018-12-24T00:00:00,3,2.75,5.0,55.6,3,False,False,False,8.6,1,Санкт-Петербург,21570.0,10556.0,1.0,402.0,0.0,5000.0,0,100371,в пределах города
6146,6146,12,4990000.0,54.9,2019-03-14T00:00:00,2,2.65,12.0,32.5,12,False,False,False,10.1,2,Санкт-Петербург,21028.0,22740.0,0.0,5000.0,2.0,383.0,0,90892,область
6149,6149,12,20680000.0,211.0,2018-03-23T00:00:00,6,3.4,7.0,155.5,6,False,False,False,21.8,0,Санкт-Петербург,26989.0,5691.0,2.0,448.0,1.0,61.0,0,98009,в пределах города
6150,6150,14,3950000.0,33.7,2019-03-11T00:00:00,1,2.5,9.0,18.2,7,False,False,False,8.8,1,Санкт-Петербург,15246.0,14042.0,1.0,215.0,2.0,673.0,14,117210,в пределах города
6152,6152,20,12997000.0,97.0,2019-04-22T00:00:00,3,2.8,19.0,48.5,11,False,False,False,15.5,5,Санкт-Петербург,44259.0,12886.0,1.0,742.0,0.0,5000.0,0,133989,в пределах города
6154,6154,6,12900000.0,100.0,2018-03-23T00:00:00,4,2.75,17.0,54.0,16,False,False,False,15.0,0,Санкт-Петербург,37227.0,15564.0,0.0,5000.0,0.0,5000.0,27,129000,в пределах города
6155,6155,11,5100000.0,64.0,2017-05-24T00:00:00,2,2.75,19.0,30.5,11,False,False,False,12.0,0,Санкт-Петербург,34014.0,15178.0,0.0,5000.0,0.0,5000.0,468,79687,в пределах города
6156,6156,3,5000000.0,46.0,2019-03-26T00:00:00,1,2.7,16.0,22.0,7,False,False,False,9.0,0,Санкт-Петербург,34585.0,14049.0,0.0,5000.0,0.0,5000.0,0,108695,в пределах города
6159,6159,10,4700000.0,58.2,2017-08-01T00:00:00,3,2.75,9.0,36.8,1,False,False,False,7.2,0,Санкт-Петербург,35513.0,11544.0,0.0,5000.0,1.0,807.0,146,80756,в пределах города
6160,6160,16,4150000.0,43.0,2018-08-03T00:00:00,2,2.5,5.0,19.8,3,False,False,False,5.5,0,Санкт-Петербург,42458.0,8910.0,2.0,612.0,0.0,5000.0,22,96511,в пределах города
6162,6162,17,4995000.0,45.0,2018-02-28T00:00:00,2,2.7,19.0,32.4,11,False,False,False,5.0,0,Санкт-Петербург,38171.0,15015.0,0.0,5000.0,2.0,982.0,154,111000,в пределах города
6164,6164,17,14790000.0,120.0,2018-02-15T00:00:00,4,2.8,18.0,64.0,8,False,False,False,15.0,0,Санкт-Петербург,33367.0,14445.0,0.0,5000.0,0.0,5000.0,319,123250,в пределах города
6165,6165,19,4300000.0,46.0,2017-06-17T00:00:00,1,2.75,16.0,20.0,5,False,False,False,13.0,0,Санкт-Петербург,11794.0,14386.0,0.0,5000.0,1.0,416.0,14,93478,в пределах города
6166,6166,11,17000000.0,231.0,2017-09-10T00:00:00,6,2.75,6.0,171.0,6,False,False,False,30.0,0,Санкт-Петербург,25761.0,5671.0,2.0,375.0,1.0,479.0,159,73593,в пределах города
6167,6167,7,3500000.0,54.2,2014-12-11T00:00:00,3,2.68,5.0,39.6,3,False,False,False,7.0,0,Колпино,24119.0,29906.0,1.0,729.0,0.0,5000.0,574,64575,область
6168,6168,20,5600000.0,67.2,2019-05-01T00:00:00,3,2.75,5.0,41.1,5,False,False,False,10.7,2,Петергоф,36511.0,39936.0,0.0,5000.0,0.0,5000.0,0,83333,область
6169,6169,20,5898000.0,50.6,2019-03-29T00:00:00,2,2.5,14.0,30.2,2,False,False,False,8.5,0,Санкт-Петербург,51331.0,15453.0,0.0,5000.0,0.0,5000.0,0,116561,в пределах города
6171,6171,3,3950000.0,43.5,2016-03-29T00:00:00,2,2.6,9.0,27.0,4,False,False,False,6.3,0,Санкт-Петербург,18578.0,17580.0,0.0,5000.0,1.0,769.0,217,90804,область
6175,6175,4,3700000.0,39.7,2017-12-04T00:00:00,1,2.65,27.0,14.3,5,False,False,False,11.85,1,посёлок Парголово,53426.0,19603.0,0.0,5000.0,0.0,5000.0,107,93198,область
6177,6177,7,3990000.0,42.9,2018-01-19T00:00:00,1,2.57,25.0,17.0,13,False,False,False,11.0,0,посёлок Парголово,53891.0,18057.0,0.0,5000.0,0.0,5000.0,61,93006,область
6178,6178,7,6100000.0,55.8,2019-04-01T00:00:00,3,2.45,5.0,40.7,2,False,False,False,5.2,0,Санкт-Петербург,39823.0,9082.0,2.0,430.0,0.0,5000.0,8,109318,в пределах города
6179,6179,16,4999000.0,50.0,2018-01-13T00:00:00,2,2.75,9.0,31.4,8,False,False,False,5.5,0,Санкт-Петербург,29066.0,9350.0,2.0,15.0,3.0,296.0,131,99980,в пределах города
